Кол-во вершин;Конфигурация графа;Диаметр;Средний путь;Время (мс);Кол-во соединений
148;C(148, 1, 19, 27, 42, 58);3;2.523809;16468;740
148;C(148, 1, 19, 28, 34, 51);3;2.523809;16468;740
148;C(148, 1, 19, 30, 66, 72);3;2.523809;16468;740
148;C(148, 1, 20, 24, 31, 34);3;2.523809;16468;740
148;C(148, 1, 20, 25, 34, 52);3;2.523809;16468;740
148;C(148, 1, 20, 27, 62, 71);3;2.523809;16468;740
148;C(148, 1, 20, 27, 66, 71);3;2.523809;16468;740
148;C(148, 1, 20, 33, 61, 71);3;2.523809;16468;740
148;C(148, 1, 20, 36, 47, 70);3;2.523809;16468;740
148;C(148, 1, 20, 55, 59, 66);3;2.523809;16468;740
148;C(148, 1, 21, 27, 35, 66);3;2.523809;16468;740
148;C(148, 1, 21, 30, 45, 55);3;2.523809;16468;740
148;C(148, 1, 21, 30, 47, 57);3;2.523809;16468;740
148;C(148, 1, 21, 33, 36, 62);3;2.523809;16468;740
148;C(148, 1, 21, 36, 54, 66);3;2.523809;16468;740
148;C(148, 1, 21, 38, 47, 52);3;2.523809;16468;740
148;C(148, 1, 21, 44, 54, 70);3;2.523809;16468;740
148;C(148, 1, 22, 25, 56, 65);3;2.523809;16468;740
148;C(148, 1, 22, 31, 36, 65);3;2.523809;16468;740
148;C(148, 1, 22, 32, 40, 57);3;2.523809;16468;740
148;C(148, 1, 22, 51, 58, 64);3;2.523809;16468;740
148;C(148, 1, 23, 26, 54, 64);3;2.523809;16468;740
148;C(148, 1, 23, 29, 33, 70);3;2.523809;16468;740
148;C(148, 1, 23, 31, 42, 67);3;2.523809;16468;740
148;C(148, 1, 23, 39, 50, 67);3;2.523809;16468;740
148;C(148, 1, 23, 50, 55, 59);3;2.523809;16468;740
148;C(148, 1, 25, 38, 46, 66);3;2.523809;16468;740
148;C(148, 1, 25, 45, 56, 63);3;2.523809;16468;740
148;C(148, 1, 25, 56, 65, 70);3;2.523809;16468;740
148;C(148, 1, 26, 38, 43, 57);3;2.523809;16468;740
148;C(148, 1, 26, 46, 60, 65);3;2.523809;16468;740
148;C(148, 1, 28, 38, 42, 47);3;2.523809;16468;740
148;C(148, 1, 28, 44, 47, 67);3;2.523809;16468;740
148;C(148, 1, 28, 48, 54, 63);3;2.523809;16468;740
148;C(148, 1, 28, 51, 54, 63);3;2.523809;16468;740
148;C(148, 1, 29, 41, 50, 72);3;2.523809;16468;740
148;C(148, 1, 29, 46, 54, 68);3;2.523809;16468;740
148;C(148, 1, 29, 51, 62, 72);3;2.523809;16468;740
148;C(148, 1, 30, 33, 54, 72);3;2.523809;16468;740
148;C(148, 1, 30, 35, 46, 63);3;2.523809;16468;740
148;C(148, 1, 30, 38, 41, 56);3;2.523809;16468;740
148;C(148, 1, 30, 43, 47, 69);3;2.523809;16468;740
148;C(148, 1, 30, 48, 63, 72);3;2.523809;16468;740
148;C(148, 1, 31, 36, 48, 57);3;2.523809;16468;740
148;C(148, 1, 31, 44, 67, 70);3;2.523809;16468;740
148;C(148, 1, 32, 41, 45, 55);3;2.523809;16468;740
148;C(148, 1, 32, 41, 57, 70);3;2.523809;16468;740
148;C(148, 1, 32, 43, 50, 69);3;2.523809;16468;740
148;C(148, 1, 32, 45, 62, 68);3;2.523809;16468;740
148;C(148, 1, 33, 42, 46, 62);3;2.523809;16468;740
148;C(148, 1, 33, 45, 54, 72);3;2.523809;16468;740
148;C(148, 1, 33, 46, 54, 72);3;2.523809;16468;740
148;C(148, 1, 34, 45, 55, 63);3;2.523809;16468;740
148;C(148, 1, 35, 45, 53, 64);3;2.523809;16468;740
148;C(148, 1, 38, 57, 60, 67);3;2.523809;16468;740
148;C(148, 1, 39, 45, 48, 72);3;2.523809;16468;740
148;C(148, 1, 39, 52, 60, 63);3;2.523809;16468;740
148;C(148, 1, 41, 57, 68, 71);3;2.523809;16468;740
148;C(148, 1, 43, 48, 65, 72);3;2.523809;16468;740
148;C(148, 1, 43, 50, 67, 70);3;2.523809;16468;740
148;C(148, 1, 43, 55, 69, 72);3;2.523809;16468;740
148;C(148, 1, 45, 54, 60, 65);3;2.523809;16468;740
148;C(148, 1, 46, 50, 62, 69);3;2.523809;16468;740
148;C(148, 1, 47, 58, 62, 68);3;2.523809;16468;740
148;C(148, 1, 50, 55, 62, 72);3;2.523809;16468;740
148;C(148, 1, 51, 58, 66, 69);3;2.523809;16468;740
148;C(148, 1, 53, 58, 61, 72);3;2.523809;16468;740
